,threshold,year,tc_loss_ha
0,10,2001,14178845
1,15,2001,13963942
2,20,2001,13691145
3,25,2001,13576718
4,30,2001,13354449
5,50,2001,11863262
6,75,2001,9294425
7,10,2002,17551636
8,15,2002,17202833
9,20,2002,16889231
10,25,2002,16738409
11,30,2002,16452066
12,50,2002,14236173
13,75,2002,10790091
14,10,2003,15480584
15,15,2003,15218826
16,20,2003,14882911
17,25,2003,14765685
18,30,2003,14475360
19,50,2003,12328498
20,75,2003,9143716
21,10,2004,20934578
22,15,2004,20604760
23,20,2004,20324592
24,25,2004,20165509
25,30,2004,19908707
26,50,2004,17406085
27,75,2004,13477466
28,10,2005,19096869
29,15,2005,18842223
30,20,2005,18482914
31,25,2005,18363588
32,30,2005,18098263
33,50,2005,16152225
34,75,2005,12972337
35,10,2006,18733774
36,15,2006,18442959
37,20,2006,18076215
38,25,2006,17942731
39,30,2006,17649726
40,50,2006,15679581
41,75,2006,12416726
42,10,2007,19463437
43,15,2007,19187930
44,20,2007,18777981
45,25,2007,18654197
46,30,2007,18387928
47,50,2007,16254883
48,75,2007,13079880
49,10,2008,19714955
50,15,2008,19424089
51,20,2008,19025143
52,25,2008,18892243
53,30,2008,18611115
54,50,2008,16365563
55,75,2008,12854545
56,10,2009,18173863
57,15,2009,17864799
58,20,2009,17400359
59,25,2009,17275715
60,30,2009,16991680
61,50,2009,15089186
62,75,2009,12081638
63,10,2010,19504879
64,15,2010,19261252
65,20,2010,18955404
66,25,2010,18840870
67,30,2010,18553347
68,50,2010,16274700
69,75,2010,13054555
70,10,2011,18584591
71,15,2011,18303061
72,20,2011,17965540
73,25,2011,17836539
74,30,2011,17579214
75,50,2011,15425329
76,75,2011,12284573
77,10,2012,25135611
78,15,2012,24669565
79,20,2012,24177764
80,25,2012,23935703
81,30,2012,23532328
82,50,2012,20537298
83,75,2012,15849337
84,10,2013,22777366
85,15,2013,22162060
86,20,2013,21501599
87,25,2013,21194467
88,30,2013,20643255
89,50,2013,17182412
90,75,2013,11565959
91,10,2014,26119612
92,15,2014,25478480
93,20,2014,24740883
94,25,2014,24396378
95,30,2014,23732713
96,50,2014,19291653
97,75,2014,13050189
98,10,2015,21166146
99,15,2015,20813124
100,20,2015,20299737
101,25,2015,20084974
102,30,2015,19622313
103,50,2015,16553017
104,75,2015,11509345
105,10,2016,31987689
106,15,2016,31421069
107,20,2016,30729000
108,25,2016,30373801
109,30,2016,29674783
110,50,2016,25505798
111,75,2016,18418843
112,10,2017,32431026
113,15,2017,31756713
114,20,2017,30667217
115,25,2017,30263810
116,30,2017,29378037
117,50,2017,24746636
118,75,2017,17429489
119,10,2018,27389944
120,15,2018,26742464
121,20,2018,25889841
122,25,2018,25498398
123,30,2018,24750173
124,50,2018,20600825
125,75,2018,14222140
